quarter,revenue_usd_m,arr_usd_m,gross_margin_pct,sm_pct_of_rev,rd_pct_of_rev,ga_pct_of_rev,operating_margin_pct,fcf_margin_pct,cash_and_equivalents_usd_m
2022Q1,60.4,251.6,77.8,40.2,21.5,12.1,4.0,7.5,310.2
2022Q2,64.1,266.8,77.9,39.5,21.8,12.0,4.6,9.1,318.8
2022Q3,67.3,279.9,78.0,38.9,21.9,11.8,5.4,11.2,330.4
2022Q4,68.6,275.4,78.2,38.2,22.1,11.7,6.2,13.8,344.7
2023Q1,73.0,302.5,78.4,37.6,22.4,11.5,6.9,12.5,355.2
2023Q2,76.2,316.1,78.5,37.1,22.6,11.4,7.4,13.6,366.8
2023Q3,79.4,329.8,78.6,36.5,23.0,11.2,7.9,14.2,378.5
2023Q4,82.0,328.0,78.7,36.0,23.2,11.0,8.5,15.4,392.1
2024Q1,86.4,357.5,79.0,35.2,23.7,10.7,9.4,14.8,401.4
2024Q2,89.1,367.6,79.1,34.8,24.0,10.5,9.8,15.7,412.6
2024Q3,91.0,374.1,79.2,34.3,24.4,10.4,10.1,16.2,420.9
2024Q4,93.7,374.8,79.2,33.9,24.6,10.2,10.5,16.8,431.5
2025Q1,96.4,398.9,79.4,33.4,24.9,10.0,11.1,15.9,438.2
2025Q2,98.8,408.5,79.5,33.0,25.1,9.8,11.6,16.5,447.0
2025Q3,101.5,419.6,79.5,32.6,25.3,9.6,12.0,17.2,455.8
2025Q4,103.2,412.8,79.6,32.2,25.4,9.5,12.4,17.8,463.4
